grantleetheme 24.12.0-1
graphene 1.10.8-2
graphite 1:1.3.14-4
grep 3.11-1
groff 1.23.0-7
grub 2:2.12-3
grub-customizer 5.2.5-1
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsl 2.8-1
gsm 1.0.22-2
gspell 1.14.0-1
gssdp 1.6.3-2
gst-plugins-bad 1.24.10-2
gst-plugins-bad-libs 1.24.10-2
gst-plugins-base 1.24.10-2
gst-plugins-base-libs 1.24.10-2
gst-plugins-good 1.24.10-2
gstreamer 1.24.10-2
gtest 1.15.2-1
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.7-3
gtk-vnc 1.3.1-2
gtk2 2.24.33-5
gtk3 1:3.24.43-4
gtk4 1:4.16.7-3
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
guile 3.0.10-1
gulp 5.0.0-1
gupnp 1:1.6.7-1
gupnp-igd 1.6.0-1
guvcview 2.2.1-1
guvcview-common 2.2.1-1
gvfs 1.56.1-1
gwenview 24.12.0-1
gzip 1.13-4
handbrake 1.9.0-1
harfbuzz 10.1.0-1
harfbuzz-icu 10.1.0-1
hdf5-openmpi 1.14.5-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
htop 3.3.0-3
http-parser 2.9.4-2
httrack 3.49.5-1
hunspell 1.7.2-2
hwdata 0.390-1
hwloc 2.11.2-1
hyphen 2.8.8-6
i2c-tools 4.4-2
iana-etc 20241206-1
icu 75.1-2
iio-sensor-proxy 3.5-2
imagemagick 7.1.1.43-1
imake 1.0.10-2
imath 3.1.12-2
imlib2 1.12.3-2
inetutils 2.5-1
iniparser 4.2.4-1
intltool 0.51.0-6
iproute2 6.12.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
jack2 1.9.22-1
jansson 2.14-4
jasper 4.2.4-2
java-runtime-common 3-5
jbigkit 2.1-8
jemalloc 1:5.3.0-5
jq 1.7.1-2
jre17-openjdk 17.0.13.u11-1
jre21-openjdk 21.0.5.u11-1
jre8-openjdk 8.432.u05-1
jre8-openjdk-headless 8.432.u05-1
js115 115.18.0-1
js128 128.5.1-1
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
jxrlib 0.2.4-2
kaccounts-integration 24.12.0-1
kactivities5 5.116.0-1
kactivitymanagerd 6.2.4-1
kalarm 24.12.0-1
karchive 6.9.0-1
karchive5 5.116.0-1
kate 24.12.0-1
kauth 6.9.0-1
kauth5 5.116.0-1
kbd 2.7.1-1
kbookmarks 6.9.0-1
kbookmarks5 5.116.0-1
kcalc 24.12.0-1
kcalendarcore 6.9.0-1
kcalutils 24.12.0-1
kcmutils 6.9.0-1
kcodecs 6.9.0-1
kcodecs5 5.116.0-1
kcolorpicker 0.3.1-4
kcolorscheme 6.9.0-1
kcompletion 6.9.0-1
kcompletion5 5.116.0-1
kconfig 6.9.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.9.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.9.0-1
kcoreaddons 6.9.0-3
kcoreaddons5 5.116.0-1
kcrash 6.9.0-1
kcrash5 5.116.0-1
kdbusaddons 6.9.0-1
kdbusaddons5 5.116.0-1
kde-cli-tools 6.2.4-1
kde-gtk-config 6.2.4-1
kdeclarative 6.9.0-1
kdeclarative5 5.116.0-1
kdeconnect 24.12.0-1
kdecoration 6.2.4-1
kded 6.9.0-1
kded5 5.116.0-1
kdeplasma-addons 6.2.4-1
kdesu 6.9.0-1
kdiskmark 3.1.4-1
kdnssd 6.9.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-3
kfilemetadata 6.9.0-1
kgamma 6.2.4-1
kglobalaccel 6.9.0-1
kglobalaccel5 5.116.0-1
kglobalacceld 6.2.4-1
kguiaddons 6.9.0-3
kguiaddons5 5.116.0-1
kholidays 1:6.9.0-1
ki18n 6.9.0-2
ki18n5 5.116.0-1
kiconthemes 6.9.0-1
kiconthemes5 5.116.0-1
kidentitymanagement 24.12.0-1
kidletime 6.9.0-1
kimageannotator 0.7.1-3
kinfocenter 6.2.4-1
kio 6.9.0-1
kio-extras 24.12.0-1
kio-fuse 5.1.0-3
kio5 5.116.0-1
kirigami 6.9.0-1
kirigami-addons 1.6.0-1
kirigami2 5.116.0-1
kitemmodels 6.9.0-1
kitemviews 6.9.0-1
kitemviews5 5.116.0-1
kiwix-desktop 2.3.1-5
kjobwidgets 6.9.0-1
kjobwidgets5 5.116.0-1
kmailtransport 24.12.0-1
kmenuedit 6.2.4-1
kmime 24.12.0-1
kmod 33-3
knewstuff 6.9.0-1
knewstuff5 5.116.0-2
